n_records,rep,implementation,threads,elapsed_sec,kernel_sec,input_file,expected_file
10000,1,r_sequential,1,0.10000000000002274,NA,n0010000_rep01_input.bin,n0010000_rep01_r_expected.bin
10000,1,r_psock,8,0.117999999999995,NA,n0010000_rep01_input.bin,n0010000_rep01_r_expected.bin
10000,2,r_sequential,1,0.09800000000001319,NA,n0010000_rep02_input.bin,n0010000_rep02_r_expected.bin
10000,2,r_psock,8,0.06999999999999318,NA,n0010000_rep02_input.bin,n0010000_rep02_r_expected.bin
10000,3,r_sequential,1,0.09800000000001319,NA,n0010000_rep03_input.bin,n0010000_rep03_r_expected.bin
10000,3,r_psock,8,0.07299999999997908,NA,n0010000_rep03_input.bin,n0010000_rep03_r_expected.bin
10000,4,r_sequential,1,0.09800000000001319,NA,n0010000_rep04_input.bin,n0010000_rep04_r_expected.bin
10000,4,r_psock,8,0.12899999999996226,NA,n0010000_rep04_input.bin,n0010000_rep04_r_expected.bin
10000,5,r_sequential,1,0.09800000000001319,NA,n0010000_rep05_input.bin,n0010000_rep05_r_expected.bin
10000,5,r_psock,8,0.08699999999998909,NA,n0010000_rep05_input.bin,n0010000_rep05_r_expected.bin
50000,1,r_sequential,1,0.49200000000001864,NA,n0050000_rep01_input.bin,n0050000_rep01_r_expected.bin
50000,1,r_psock,8,0.1570000000000391,NA,n0050000_rep01_input.bin,n0050000_rep01_r_expected.bin
50000,2,r_sequential,1,0.4779999999999518,NA,n0050000_rep02_input.bin,n0050000_rep02_r_expected.bin
50000,2,r_psock,8,0.15499999999997272,NA,n0050000_rep02_input.bin,n0050000_rep02_r_expected.bin
50000,3,r_sequential,1,0.4770000000000323,NA,n0050000_rep03_input.bin,n0050000_rep03_r_expected.bin
50000,3,r_psock,8,0.1349999999999909,NA,n0050000_rep03_input.bin,n0050000_rep03_r_expected.bin
50000,4,r_sequential,1,0.4770000000000323,NA,n0050000_rep04_input.bin,n0050000_rep04_r_expected.bin
50000,4,r_psock,8,0.13400000000001455,NA,n0050000_rep04_input.bin,n0050000_rep04_r_expected.bin
50000,5,r_sequential,1,0.478999999999985,NA,n0050000_rep05_input.bin,n0050000_rep05_r_expected.bin
50000,5,r_psock,8,0.13599999999996726,NA,n0050000_rep05_input.bin,n0050000_rep05_r_expected.bin
100000,1,r_sequential,1,0.9659999999999513,NA,n0100000_rep01_input.bin,n0100000_rep01_r_expected.bin
