specimen_id,matrix,scenario,expected_grade,metadata_complete,terminology_valid,traceability_ok,monitoring_ok,documentation_ok,semantic_compatible,P_pre_severity,P_pre_code,P_cent1_severity,P_cent1_code,P_cent2_severity,P_cent2_code,P_post_severity,P_post_code,P_store_severity,P_store_code,P_warm_severity,P_warm_code,P_cold_severity,P_cold_code,P_fix_severity,P_fix_code,P_fixTime_severity,P_fixTime_code,G_gov,P_bio,RCS,score_based_grade,final_grade,grade_route,nearest_threshold,threshold_margin
fluid_optimal_1,fluid,optimal,Grade A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0503286536402959,P_pre_optimal,0.05822700678359106,P_cent1_optimal,0.029780333622825082,P_cent2_optimal,0.04044756621754562,P_post_optimal,0.029909318861512386,P_store_optimal,NA,NA,NA,NA,NA,NA,NA,NA,1,4.237752343079715,95.76224765692028,Grade A,Grade A,Score-based certification,10,5.762247656920285
fluid_optimal_2,fluid,optimal,Grade A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.07725398827320204,P_pre_optimal,0.06646540123239698,P_cent1_optimal,0.06813080385225813,P_cent2_optimal,0.06063843320083779,P_post_optimal,0.06223730334353305,P_store_optimal,NA,NA,NA,NA,NA,NA,NA,NA,1,6.76460995280968,93.23539004719032,Grade A,Grade A,Score-based certification,10,3.23539004719032
fluid_optimal_3,fluid,optimal,Grade A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.06819524841428297,P_pre_optimal,0.020288879117335984,P_cent1_optimal,0.055637767167309525,P_cent2_optimal,0.058820010013932444,P_post_optimal,0.05057620008401895,P_store_optimal,NA,NA,NA,NA,NA,NA,NA,NA,1,5.347373513240746,94.65262648675926,Grade A,Grade A,Score-based certification,10,4.652626486759254
fluid_optimal_4,fluid,optimal,Grade A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.017477457823349696,P_pre_optimal,0.06707595988976751,P_cent1_optimal,0.046358268527105284,P_cent2_optimal,0.04206260181956738,P_post_optimal,0.06439245518103687,P_store_optimal,NA,NA,NA,NA,NA,NA,NA,NA,1,4.445109234235326,95.55489076576467,Grade A,Grade A,Score-based certification,10,5.554890765764674
fluid_optimal_5,fluid,optimal,Grade A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.10584055494000218,P_pre_optimal,0.08975954494364273,P_cent1_optimal,0.08516321841163056,P_cent2_optimal,0.09809029339616003,P_post_optimal,0.07620725839171778,P_store_optimal,NA,NA,NA,NA,NA,NA,NA,NA,1,9.240229334187156,90.75977066581285,Grade A,Grade A,Score-based certification,10,0.7597706658128445
fluid_optimal_6,fluid,optimal,Grade A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.020426459062494056,P_pre_optimal,0.03281293401601029,P_cent1_optimal,0.024481955273238168,P_cent2_optimal,0.014850640891464113,P_post_optimal,0.019186564036523964,P_store_optimal,NA,NA,NA,NA,NA,NA,NA,NA,1,2.126484253589739,97.87351574641026,Grade A,Grade A,Score-based certification,10,7.873515746410261
fluid_optimal_7,fluid,optimal,Grade A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.08077701647608936,P_pre_optimal,0.09281810630457044,P_cent1_optimal,0.07643806370275431,P_cent2_optimal,0.08364402223549167,P_post_optimal,0.07703784058537481,P_store_optimal,NA,NA,NA,NA,NA,NA,NA,NA,1,8.178789185222984,91.82121081477702,Grade A,Grade A,Score-based certification,10,1.8212108147770163
fluid_optimal_8,fluid,optimal,Grade A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.054022688110280756,P_pre_optimal,0.031058950292463226,P_cent1_optimal,0.05622936379393621,P_cent2_optimal,0.046168134516676396,P_post_optimal,0.03738107814922107,P_store_optimal,NA,NA,NA,NA,NA,NA,NA,NA,1,4.506748179698787,95.49325182030121,Grade A,Grade A,Score-based certification,10,5.493251820301213
fluid_optimal_9,fluid,optimal,Grade A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.028544450148145595,P_pre_optimal,0.02273386548147291,P_cent1_optimal,0.06593997841474117,P_cent2_optimal,0.019305034287897385,P_post_optimal,0.059696702642789354,P_store_optimal,NA,NA,NA,NA,NA,NA,NA,NA,1,3.735259522641555,96.26474047735844,Grade A,Grade A,Score-based certification,10,6.264740477358445
fluid_optimal_10,fluid,optimal,Grade A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.043373829355797006,P_pre_optimal,0.06264026059522057,P_cent1_optimal,0.061677026678337216,P_cent2_optimal,0.06594100492573193,P_post_optimal,0.05559730067340315,P_store_optimal,NA,NA,NA,NA,NA,NA,NA,NA,1,5.566341671735308,94.4336583282647,Grade A,Grade A,Score-based certification,10,4.433658328264692
fluid_optimal_11,fluid,optimal,Grade A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.047938254298776024,P_pre_optimal,0.06422656216009438,P_cent1_optimal,0.06311994403639869,P_cent2_optimal,0.038925281891705896,P_post_optimal,0.06388302269066208,P_store_optimal,NA,NA,NA,NA,NA,NA,NA,NA,1,5.408326706829353,94.59167329317064,Grade A,Grade A,Score-based certification,10,4.591673293170647
fluid_optimal_12,fluid,optimal,Grade A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.06456313193586267,P_pre_optimal,0.028492147031169177,P_cent1_optimal,0.0628757133090082,P_cent2_optimal,0.04819271401609408,P_post_optimal,0.04864692418776897,P_store_optimal,NA,NA,NA,NA,NA,NA,NA,NA,1,5.173060681649606,94.8269393183504,Grade A,Grade A,Score-based certification,10,4.826939318350394
fluid_optimal_13,fluid,optimal,Grade A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0418557826302951,P_pre_optimal,0.057411333304611144,P_cent1_optimal,0.05667313557116206,P_cent2_optimal,0.04260407006088056,P_post_optimal,0.0329839523772089,P_store_optimal,NA,NA,NA,NA,NA,NA,NA,NA,1,4.360255044837475,95.63974495516253,Grade A,Grade A,Score-based certification,10,5.639744955162525
fluid_optimal_14,fluid,optimal,Grade A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.030894150948460247,P_pre_optimal,0.05785480413860144,P_cent1_optimal,0.03157790090802751,P_cent2_optimal,0.030541852554978478,P_post_optimal,0.05755709655388665,P_store_optimal,NA,NA,NA,NA,NA,NA,NA,NA,1,4.160190064559839,95.83980993544016,Grade A,Grade A,Score-based certification,10,5.839809935440161
fluid_optimal_15,fluid,optimal,Grade A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.03885192672916252,P_pre_optimal,0.026566857647765726,P_cent1_optimal,0.04118054858367547,P_cent2_optimal,0.051173423125794905,P_post_optimal,0.04116483724107371,P_store_optimal,NA,NA,NA,NA,NA,NA,NA,NA,1,4.028455545970857,95.97154445402914,Grade A,Grade A,Score-based certification,10,5.971544454029143
fluid_optimal_16,fluid,optimal,Grade A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0490207957323303,P_pre_optimal,0.061438001242082596,P_cent1_optimal,0.07109142449821741,P_cent2_optimal,0.04881209341962833,P_post_optimal,0.08118581954470375,P_store_optimal,NA,NA,NA,NA,NA,NA,NA,NA,1,6.108995492593483,93.89100450740652,Grade A,Grade A,Score-based certification,10,3.8910045074065174
