matrix,final_grade,n,mean_margin,median_margin,q1_margin,q3_margin,min_margin,max_margin
fluid,Grade A,20,2.75,2.5,0,4.0625,0,10
fluid,Grade B,104,2.2596153846153846,2.5,1.25,3.75,0,5
fluid,Grade C,517,3.5710831721470018,3.75,1.25,5,0,7.5
fluid,Grade D,967,3.7448293691830403,3.75,1.875,5.625,0,7.5
fluid,Grade E,1517,14.006262359920896,12.5,6.25,20,1.25,50
solid,Grade A,16,2.8125,2.5,0,4.0625,0,10
solid,Grade B,91,2.2252747252747254,2.5,1.25,3.75,0,5
solid,Grade C,501,3.557884231536926,3.75,1.25,5,0,7.5
solid,Grade D,1001,3.7412587412587412,3.75,1.25,6.25,0,7.5
solid,Grade E,1516,13.49934036939314,11.25,6.25,19.0625,1.25,50
