matrix,axis,axis_label,axis_order,perturbation_scenario,perturbation_fraction,baseline_weight,normalized_perturbed_weight,threshold_transition,transition_label,penalty_threshold,severity_required,severity_plot,reached
fluid,P_pre,Pre-centrifugation,1,-20%,-0.2,30,25.53191489361702,A to B,A→B,10,0.39166666666666666,0.39166666666666666,TRUE
fluid,P_pre,Pre-centrifugation,1,-20%,-0.2,30,25.53191489361702,B to C,B→C,20,0.7833333333333333,0.7833333333333333,TRUE
fluid,P_pre,Pre-centrifugation,1,-20%,-0.2,30,25.53191489361702,C to D,C→D,35,1.3708333333333333,1,FALSE
fluid,P_pre,Pre-centrifugation,1,-20%,-0.2,30,25.53191489361702,D to E,D→E,50,1.9583333333333333,1,FALSE
fluid,P_pre,Pre-centrifugation,1,-10%,-0.1,30,27.835051546391753,A to B,A→B,10,0.3592592592592593,0.3592592592592593,TRUE
fluid,P_pre,Pre-centrifugation,1,-10%,-0.1,30,27.835051546391753,B to C,B→C,20,0.7185185185185186,0.7185185185185186,TRUE
fluid,P_pre,Pre-centrifugation,1,-10%,-0.1,30,27.835051546391753,C to D,C→D,35,1.2574074074074073,1,FALSE
fluid,P_pre,Pre-centrifugation,1,-10%,-0.1,30,27.835051546391753,D to E,D→E,50,1.7962962962962963,1,FALSE
fluid,P_pre,Pre-centrifugation,1,Nominal,0,30,30,A to B,A→B,10,0.3333333333333333,0.3333333333333333,TRUE
fluid,P_pre,Pre-centrifugation,1,Nominal,0,30,30,B to C,B→C,20,0.6666666666666666,0.6666666666666666,TRUE
fluid,P_pre,Pre-centrifugation,1,Nominal,0,30,30,C to D,C→D,35,1.1666666666666667,1,FALSE
fluid,P_pre,Pre-centrifugation,1,Nominal,0,30,30,D to E,D→E,50,1.6666666666666667,1,FALSE
fluid,P_pre,Pre-centrifugation,1,+10%,0.1,30,32.038834951456316,A to B,A→B,10,0.3121212121212121,0.3121212121212121,TRUE
fluid,P_pre,Pre-centrifugation,1,+10%,0.1,30,32.038834951456316,B to C,B→C,20,0.6242424242424242,0.6242424242424242,TRUE
fluid,P_pre,Pre-centrifugation,1,+10%,0.1,30,32.038834951456316,C to D,C→D,35,1.0924242424242423,1,FALSE
fluid,P_pre,Pre-centrifugation,1,+10%,0.1,30,32.038834951456316,D to E,D→E,50,1.5606060606060603,1,FALSE
fluid,P_pre,Pre-centrifugation,1,+20%,0.2,30,33.9622641509434,A to B,A→B,10,0.29444444444444445,0.29444444444444445,TRUE
fluid,P_pre,Pre-centrifugation,1,+20%,0.2,30,33.9622641509434,B to C,B→C,20,0.5888888888888889,0.5888888888888889,TRUE
fluid,P_pre,Pre-centrifugation,1,+20%,0.2,30,33.9622641509434,C to D,C→D,35,1.0305555555555554,1,FALSE
fluid,P_pre,Pre-centrifugation,1,+20%,0.2,30,33.9622641509434,D to E,D→E,50,1.472222222222222,1,FALSE
fluid,P_cent1,First centrifugation,2,-20%,-0.2,15,12.371134020618557,A to B,A→B,10,0.8083333333333333,0.8083333333333333,TRUE
fluid,P_cent1,First centrifugation,2,-20%,-0.2,15,12.371134020618557,B to C,B→C,20,1.6166666666666667,1,FALSE
fluid,P_cent1,First centrifugation,2,-20%,-0.2,15,12.371134020618557,C to D,C→D,35,2.8291666666666666,1,FALSE
fluid,P_cent1,First centrifugation,2,-20%,-0.2,15,12.371134020618557,D to E,D→E,50,4.041666666666666,1,FALSE
