matrix,grade,n,proportion_raw,proportion,label
Fluid biospecimens,Grade A,20,0.0064,0.0064,"0.6%
n=20"
Fluid biospecimens,Grade B,104,0.03328,0.03328,"3.3%
n=104"
Fluid biospecimens,Grade C,517,0.16544,0.16544,"16.5%
n=517"
Fluid biospecimens,Grade D,967,0.30944,0.30944,"30.9%
n=967"
Fluid biospecimens,Grade E,1517,0.48544,0.48544,"48.5%
n=1,517"
Solid biospecimens,Grade A,16,0.00512,0.00512,"0.5%
n=16"
Solid biospecimens,Grade B,91,0.02912,0.02912,"2.9%
n=91"
Solid biospecimens,Grade C,501,0.16032,0.16032,"16.0%
n=501"
Solid biospecimens,Grade D,1001,0.32032,0.32032,"32.0%
n=1,001"
Solid biospecimens,Grade E,1516,0.48512,0.48512,"48.5%
n=1,516"
