matrix,axis,axis_label,weight,axis_order,weight_scenario,weight_multiplier,threshold_transition,penalty_required,transition_order,effective_weight,rcs_at_100,max_grade,max_grade_letter,severity_required,reached,transition_label
Fluid biospecimens,P_pre,Pre-centrifugation delay,30,1,-20%,0.8,A to B,10,1,24,76,Grade C,C,41.666666666666664,TRUE,A→B
Fluid biospecimens,P_pre,Pre-centrifugation delay,30,1,-20%,0.8,B to C,20,2,24,76,Grade C,C,83.33333333333333,TRUE,B→C
Fluid biospecimens,P_pre,Pre-centrifugation delay,30,1,-20%,0.8,C to D,35,3,24,76,Grade C,C,145.83333333333334,FALSE,C→D
Fluid biospecimens,P_pre,Pre-centrifugation delay,30,1,-20%,0.8,D to E,50,4,24,76,Grade C,C,208.33333333333334,FALSE,D→E
Fluid biospecimens,P_pre,Pre-centrifugation delay,30,1,-10%,0.9,A to B,10,1,27,73,Grade C,C,37.03703703703704,TRUE,A→B
Fluid biospecimens,P_pre,Pre-centrifugation delay,30,1,-10%,0.9,B to C,20,2,27,73,Grade C,C,74.07407407407408,TRUE,B→C
Fluid biospecimens,P_pre,Pre-centrifugation delay,30,1,-10%,0.9,C to D,35,3,27,73,Grade C,C,129.62962962962962,FALSE,C→D
Fluid biospecimens,P_pre,Pre-centrifugation delay,30,1,-10%,0.9,D to E,50,4,27,73,Grade C,C,185.1851851851852,FALSE,D→E
Fluid biospecimens,P_pre,Pre-centrifugation delay,30,1,Nominal,1,A to B,10,1,30,70,Grade C,C,33.333333333333336,TRUE,A→B
Fluid biospecimens,P_pre,Pre-centrifugation delay,30,1,Nominal,1,B to C,20,2,30,70,Grade C,C,66.66666666666667,TRUE,B→C
Fluid biospecimens,P_pre,Pre-centrifugation delay,30,1,Nominal,1,C to D,35,3,30,70,Grade C,C,116.66666666666667,FALSE,C→D
Fluid biospecimens,P_pre,Pre-centrifugation delay,30,1,Nominal,1,D to E,50,4,30,70,Grade C,C,166.66666666666666,FALSE,D→E
Fluid biospecimens,P_pre,Pre-centrifugation delay,30,1,+10%,1.1,A to B,10,1,33,67,Grade C,C,30.303030303030305,TRUE,A→B
Fluid biospecimens,P_pre,Pre-centrifugation delay,30,1,+10%,1.1,B to C,20,2,33,67,Grade C,C,60.60606060606061,TRUE,B→C
Fluid biospecimens,P_pre,Pre-centrifugation delay,30,1,+10%,1.1,C to D,35,3,33,67,Grade C,C,106.06060606060606,FALSE,C→D
Fluid biospecimens,P_pre,Pre-centrifugation delay,30,1,+10%,1.1,D to E,50,4,33,67,Grade C,C,151.5151515151515,FALSE,D→E
Fluid biospecimens,P_pre,Pre-centrifugation delay,30,1,+20%,1.2,A to B,10,1,36,64,Grade D,D,27.77777777777778,TRUE,A→B
Fluid biospecimens,P_pre,Pre-centrifugation delay,30,1,+20%,1.2,B to C,20,2,36,64,Grade D,D,55.55555555555556,TRUE,B→C
Fluid biospecimens,P_pre,Pre-centrifugation delay,30,1,+20%,1.2,C to D,35,3,36,64,Grade D,D,97.22222222222223,TRUE,C→D
Fluid biospecimens,P_pre,Pre-centrifugation delay,30,1,+20%,1.2,D to E,50,4,36,64,Grade D,D,138.88888888888889,FALSE,D→E
Fluid biospecimens,P_cent1,Primary centrifugation,15,2,-20%,0.8,A to B,10,1,12,88,Grade B,B,83.33333333333333,TRUE,A→B
Fluid biospecimens,P_cent1,Primary centrifugation,15,2,-20%,0.8,B to C,20,2,12,88,Grade B,B,166.66666666666666,FALSE,B→C
Fluid biospecimens,P_cent1,Primary centrifugation,15,2,-20%,0.8,C to D,35,3,12,88,Grade B,B,291.6666666666667,FALSE,C→D
Fluid biospecimens,P_cent1,Primary centrifugation,15,2,-20%,0.8,D to E,50,4,12,88,Grade B,B,416.6666666666667,FALSE,D→E
Fluid biospecimens,P_cent1,Primary centrifugation,15,2,-10%,0.9,A to B,10,1,13.5,86.5,Grade B,B,74.07407407407408,TRUE,A→B
Fluid biospecimens,P_cent1,Primary centrifugation,15,2,-10%,0.9,B to C,20,2,13.5,86.5,Grade B,B,148.14814814814815,FALSE,B→C
Fluid biospecimens,P_cent1,Primary centrifugation,15,2,-10%,0.9,C to D,35,3,13.5,86.5,Grade B,B,259.25925925925924,FALSE,C→D
Fluid biospecimens,P_cent1,Primary centrifugation,15,2,-10%,0.9,D to E,50,4,13.5,86.5,Grade B,B,370.3703703703704,FALSE,D→E
Fluid biospecimens,P_cent1,Primary centrifugation,15,2,Nominal,1,A to B,10,1,15,85,Grade B,B,66.66666666666667,TRUE,A→B
Fluid biospecimens,P_cent1,Primary centrifugation,15,2,Nominal,1,B to C,20,2,15,85,Grade B,B,133.33333333333334,FALSE,B→C
Fluid biospecimens,P_cent1,Primary centrifugation,15,2,Nominal,1,C to D,35,3,15,85,Grade B,B,233.33333333333334,FALSE,C→D
Fluid biospecimens,P_cent1,Primary centrifugation,15,2,Nominal,1,D to E,50,4,15,85,Grade B,B,333.3333333333333,FALSE,D→E
Fluid biospecimens,P_cent1,Primary centrifugation,15,2,+10%,1.1,A to B,10,1,16.5,83.5,Grade B,B,60.60606060606061,TRUE,A→B
Fluid biospecimens,P_cent1,Primary centrifugation,15,2,+10%,1.1,B to C,20,2,16.5,83.5,Grade B,B,121.21212121212122,FALSE,B→C
Fluid biospecimens,P_cent1,Primary centrifugation,15,2,+10%,1.1,C to D,35,3,16.5,83.5,Grade B,B,212.12121212121212,FALSE,C→D
Fluid biospecimens,P_cent1,Primary centrifugation,15,2,+10%,1.1,D to E,50,4,16.5,83.5,Grade B,B,303.030303030303,FALSE,D→E
Fluid biospecimens,P_cent1,Primary centrifugation,15,2,+20%,1.2,A to B,10,1,18,82,Grade B,B,55.55555555555556,TRUE,A→B
Fluid biospecimens,P_cent1,Primary centrifugation,15,2,+20%,1.2,B to C,20,2,18,82,Grade B,B,111.11111111111111,FALSE,B→C
Fluid biospecimens,P_cent1,Primary centrifugation,15,2,+20%,1.2,C to D,35,3,18,82,Grade B,B,194.44444444444446,FALSE,C→D
Fluid biospecimens,P_cent1,Primary centrifugation,15,2,+20%,1.2,D to E,50,4,18,82,Grade B,B,277.77777777777777,FALSE,D→E
Fluid biospecimens,P_cent2,Second centrifugation,10,3,-20%,0.8,A to B,10,1,8,92,Grade A,A,125,FALSE,A→B
Fluid biospecimens,P_cent2,Second centrifugation,10,3,-20%,0.8,B to C,20,2,8,92,Grade A,A,250,FALSE,B→C
Fluid biospecimens,P_cent2,Second centrifugation,10,3,-20%,0.8,C to D,35,3,8,92,Grade A,A,437.5,FALSE,C→D
Fluid biospecimens,P_cent2,Second centrifugation,10,3,-20%,0.8,D to E,50,4,8,92,Grade A,A,625,FALSE,D→E
Fluid biospecimens,P_cent2,Second centrifugation,10,3,-10%,0.9,A to B,10,1,9,91,Grade A,A,111.11111111111111,FALSE,A→B
Fluid biospecimens,P_cent2,Second centrifugation,10,3,-10%,0.9,B to C,20,2,9,91,Grade A,A,222.22222222222223,FALSE,B→C
Fluid biospecimens,P_cent2,Second centrifugation,10,3,-10%,0.9,C to D,35,3,9,91,Grade A,A,388.8888888888889,FALSE,C→D
Fluid biospecimens,P_cent2,Second centrifugation,10,3,-10%,0.9,D to E,50,4,9,91,Grade A,A,555.5555555555555,FALSE,D→E
Fluid biospecimens,P_cent2,Second centrifugation,10,3,Nominal,1,A to B,10,1,10,90,Grade A,A,100,TRUE,A→B
Fluid biospecimens,P_cent2,Second centrifugation,10,3,Nominal,1,B to C,20,2,10,90,Grade A,A,200,FALSE,B→C
Fluid biospecimens,P_cent2,Second centrifugation,10,3,Nominal,1,C to D,35,3,10,90,Grade A,A,350,FALSE,C→D
Fluid biospecimens,P_cent2,Second centrifugation,10,3,Nominal,1,D to E,50,4,10,90,Grade A,A,500,FALSE,D→E
Fluid biospecimens,P_cent2,Second centrifugation,10,3,+10%,1.1,A to B,10,1,11,89,Grade B,B,90.9090909090909,TRUE,A→B
Fluid biospecimens,P_cent2,Second centrifugation,10,3,+10%,1.1,B to C,20,2,11,89,Grade B,B,181.8181818181818,FALSE,B→C
Fluid biospecimens,P_cent2,Second centrifugation,10,3,+10%,1.1,C to D,35,3,11,89,Grade B,B,318.1818181818182,FALSE,C→D
Fluid biospecimens,P_cent2,Second centrifugation,10,3,+10%,1.1,D to E,50,4,11,89,Grade B,B,454.54545454545456,FALSE,D→E
Fluid biospecimens,P_cent2,Second centrifugation,10,3,+20%,1.2,A to B,10,1,12,88,Grade B,B,83.33333333333333,TRUE,A→B
Fluid biospecimens,P_cent2,Second centrifugation,10,3,+20%,1.2,B to C,20,2,12,88,Grade B,B,166.66666666666666,FALSE,B→C
Fluid biospecimens,P_cent2,Second centrifugation,10,3,+20%,1.2,C to D,35,3,12,88,Grade B,B,291.6666666666667,FALSE,C→D
