source_table,model,final_grade,n,proportion
Table_Ablation_Analysis,Full governance-aware RCS,Grade A,407,0.169583333333333
Table_Ablation_Analysis,Full governance-aware RCS,Grade B,392,0.163333333333333
Table_Ablation_Analysis,Full governance-aware RCS,Grade C,404,0.168333333333333
Table_Ablation_Analysis,Full governance-aware RCS,Grade D,396,0.165
Table_Ablation_Analysis,Full governance-aware RCS,Grade E,801,0.33375
Table_Ablation_Analysis,Without governance gate,Grade A,806,0.335833333333333
Table_Ablation_Analysis,Without governance gate,Grade B,393,0.16375
Table_Ablation_Analysis,Without governance gate,Grade C,404,0.168333333333333
Table_Ablation_Analysis,Without governance gate,Grade D,396,0.165
Table_Ablation_Analysis,Without governance gate,Grade E,401,0.167083333333333
Table_Ablation_Analysis,Equal axis weights,Grade A,405,0.16875
Table_Ablation_Analysis,Equal axis weights,Grade B,393,0.16375
Table_Ablation_Analysis,Equal axis weights,Grade C,405,0.16875
Table_Ablation_Analysis,Equal axis weights,Grade D,396,0.165
Table_Ablation_Analysis,Equal axis weights,Grade E,801,0.33375
