n_records,workload,rep,comparison_id,speedup,comparison
10000,10000,1,psock_openmp,418.73966458241364,R/PSOCK / C++ OpenMP
10000,10000,1,psock_cuda,0.3367899830324778,R/PSOCK / C++ CUDA
10000,10000,2,psock_openmp,251.1958717752485,R/PSOCK / C++ OpenMP
10000,10000,2,psock_cuda,0.4539381560362425,R/PSOCK / C++ CUDA
10000,10000,3,psock_openmp,205.71840813399055,R/PSOCK / C++ OpenMP
10000,10000,3,psock_cuda,0.46019269516327194,R/PSOCK / C++ CUDA
10000,10000,4,psock_openmp,462.5861073557009,R/PSOCK / C++ OpenMP
10000,10000,4,psock_cuda,0.8387210868782559,R/PSOCK / C++ CUDA
10000,10000,5,psock_openmp,311.0386545968978,R/PSOCK / C++ OpenMP
10000,10000,5,psock_cuda,0.5536168959497921,R/PSOCK / C++ CUDA
50000,50000,1,psock_openmp,392.0873280872859,R/PSOCK / C++ OpenMP
50000,50000,1,psock_cuda,1.0078734754929184,R/PSOCK / C++ CUDA
50000,50000,2,psock_openmp,403.3380779768893,R/PSOCK / C++ OpenMP
50000,50000,2,psock_cuda,0.999057592195872,R/PSOCK / C++ CUDA
50000,50000,3,psock_openmp,305.76329843854813,R/PSOCK / C++ OpenMP
50000,50000,3,psock_cuda,0.8675709888193742,R/PSOCK / C++ CUDA
50000,50000,4,psock_openmp,342.92060876089107,R/PSOCK / C++ OpenMP
50000,50000,4,psock_cuda,0.8579553939515691,R/PSOCK / C++ CUDA
50000,50000,5,psock_openmp,337.3894491372189,R/PSOCK / C++ OpenMP
50000,50000,5,psock_cuda,0.8727550590079146,R/PSOCK / C++ CUDA
100000,100000,1,psock_openmp,509.08019161311955,R/PSOCK / C++ OpenMP
100000,100000,1,psock_cuda,1.6910362472409344,R/PSOCK / C++ CUDA
100000,100000,2,psock_openmp,394.71272901562963,R/PSOCK / C++ OpenMP
100000,100000,2,psock_cuda,1.5966218826267218,R/PSOCK / C++ CUDA
100000,100000,3,psock_openmp,490.8271801394369,R/PSOCK / C++ OpenMP
100000,100000,3,psock_cuda,1.5942721597188003,R/PSOCK / C++ CUDA
100000,100000,4,psock_openmp,467.7348513800667,R/PSOCK / C++ OpenMP
100000,100000,4,psock_cuda,1.5422284144851266,R/PSOCK / C++ CUDA
100000,100000,5,psock_openmp,470.41753807269305,R/PSOCK / C++ OpenMP
100000,100000,5,psock_cuda,1.5707722211470125,R/PSOCK / C++ CUDA
500000,500000,1,psock_openmp,865.465420249592,R/PSOCK / C++ OpenMP
500000,500000,1,psock_cuda,8.433189191800745,R/PSOCK / C++ CUDA
500000,500000,2,psock_openmp,786.5022894398376,R/PSOCK / C++ OpenMP
500000,500000,2,psock_cuda,7.972030070355267,R/PSOCK / C++ CUDA
500000,500000,3,psock_openmp,794.8633850441764,R/PSOCK / C++ OpenMP
500000,500000,3,psock_cuda,8.107530329529656,R/PSOCK / C++ CUDA
500000,500000,4,psock_openmp,791.0214784858375,R/PSOCK / C++ OpenMP
500000,500000,4,psock_cuda,8.251101813587084,R/PSOCK / C++ CUDA
500000,500000,5,psock_openmp,799.6390998626025,R/PSOCK / C++ OpenMP
500000,500000,5,psock_cuda,7.717408313805217,R/PSOCK / C++ CUDA
1000000,1000000,1,psock_openmp,882.5004199736603,R/PSOCK / C++ OpenMP
1000000,1000000,1,psock_cuda,11.579939338118987,R/PSOCK / C++ CUDA
1000000,1000000,2,psock_openmp,878.1693400477108,R/PSOCK / C++ OpenMP
1000000,1000000,2,psock_cuda,11.002496654318406,R/PSOCK / C++ CUDA
1000000,1000000,3,psock_openmp,842.0524413450678,R/PSOCK / C++ OpenMP
1000000,1000000,3,psock_cuda,11.235513373492592,R/PSOCK / C++ CUDA
1000000,1000000,4,psock_openmp,778.8181567113901,R/PSOCK / C++ OpenMP
1000000,1000000,4,psock_cuda,14.832181602997878,R/PSOCK / C++ CUDA
1000000,1000000,5,psock_openmp,898.7956138773925,R/PSOCK / C++ OpenMP
1000000,1000000,5,psock_cuda,15.368234295969586,R/PSOCK / C++ CUDA
2000000,2000000,1,psock_openmp,902.801836804825,R/PSOCK / C++ OpenMP
2000000,2000000,1,psock_cuda,19.143614792058788,R/PSOCK / C++ CUDA
2000000,2000000,2,psock_openmp,837.1664957491604,R/PSOCK / C++ OpenMP
2000000,2000000,2,psock_cuda,19.468549362592206,R/PSOCK / C++ CUDA
2000000,2000000,3,psock_openmp,864.9813822550788,R/PSOCK / C++ OpenMP
2000000,2000000,3,psock_cuda,18.123601967176292,R/PSOCK / C++ CUDA
2000000,2000000,4,psock_openmp,847.7248011107154,R/PSOCK / C++ OpenMP
2000000,2000000,4,psock_cuda,18.4240447793041,R/PSOCK / C++ CUDA
2000000,2000000,5,psock_openmp,885.191283867686,R/PSOCK / C++ OpenMP
2000000,2000000,5,psock_cuda,18.74055254642173,R/PSOCK / C++ CUDA
5000000,5000000,1,psock_openmp,829.771471377049,R/PSOCK / C++ OpenMP
5000000,5000000,1,psock_cuda,34.89144036591302,R/PSOCK / C++ CUDA
5000000,5000000,2,psock_openmp,862.2837588962279,R/PSOCK / C++ OpenMP
5000000,5000000,2,psock_cuda,34.95485564305703,R/PSOCK / C++ CUDA
