n_records,workload,comparison,repetitions,arithmetic_mean,median,geometric_mean,log_sd,log_se,log_ci95,ymin,ymax
10000,10000,R/PSOCK / C++ CUDA,5,0.528651763412008,0.46019269516327194,0.5044573972009407,0.3353792029369996,0.14998613920136564,0.4164282820331465,0.3326380988006007,0.765027417209036
10000,10000,R/PSOCK / C++ OpenMP,5,329.85574128885025,311.0386545968978,315.2443711837418,0.3397110124749793,0.15192338331986655,0.4218069339835316,206.75637868965262,480.6575458172616
50000,50000,R/PSOCK / C++ CUDA,5,0.9210425018935297,0.8727550590079146,0.9186111849564317,0.08093798133088864,0.03619656564349518,0.10049777750585281,0.830780126172367,1.0157278472884192
50000,50000,R/PSOCK / C++ OpenMP,5,356.29975248016666,342.92060876089107,354.4479703062604,0.1142778504740493,0.05110660839650616,0.14189469272573998,307.55897984854516,408.48543494355044
100000,100000,R/PSOCK / C++ CUDA,5,1.598986185043719,1.5942721597188003,1.5982174706618015,0.034517063169035946,0.015436499925923736,0.04285859466071706,1.5311672188636598,1.6682038722225607
100000,100000,R/PSOCK / C++ OpenMP,5,466.5544980441892,470.41753807269305,464.83180308287655,0.09765857347274638,0.043674241774143724,0.12125913479704634,411.75005043858687,524.7567181282108
500000,500000,R/PSOCK / C++ CUDA,5,8.096251943815593,8.107530329529656,8.092571695042626,0.0337564521583375,0.015096344341052429,0.04191417135209542,7.76038848056027,8.438974002842315
500000,500000,R/PSOCK / C++ OpenMP,5,807.4983346164092,794.8633850441764,806.9839555884051,0.03958405503899432,0.01770252757845688,0.04915009604483555,768.2795701012857,847.6381904718037
1000000,1000000,R/PSOCK / C++ CUDA,5,12.803673052979489,11.579939338118987,12.668461955615223,0.16166680698335695,0.07229959402402476,0.2007358539357912,10.364429883978836,15.484684649075868
1000000,1000000,R/PSOCK / C++ OpenMP,5,856.0671943910443,878.1693400477108,854.9601419753366,0.0573470468891368,0.025646379030595544,0.07120576352554432,796.1989459797207,918.0580407162524
2000000,2000000,R/PSOCK / C++ CUDA,5,18.78007268951062,18.74055254642173,18.773873421298397,0.028723401956131173,0.012845495863791946,0.03566481411486365,18.116106012410548,19.45552333362814
2000000,2000000,R/PSOCK / C++ OpenMP,5,867.5731599574931,864.9813822550788,867.2426148180964,0.030843007449708713,0.013793412257616221,0.0382966519466338,834.6580485132604,901.0992636999416
5000000,5000000,R/PSOCK / C++ CUDA,5,34.222596966348036,34.44038083656172,34.21382982269871,0.02538985943407396,0.011354690326750743,0.03152567437874384,33.15204051487144,35.30962598249369
5000000,5000000,R/PSOCK / C++ OpenMP,5,736.8720921214824,829.771471377049,708.8683255399432,0.3335644336838728,0.14917454971867203,0.4141749483864918,468.4806703969908,1072.6041322643875
