source_table,matrix,axis,weight,morris_mu_star_for_Pbio,sobol_style_first_order_Pbio,P_bio,RCS,final_grade
Table_Global_Sensitivity,fluid,P_pre,30,30,0.4,NA,NA,NA
Table_Global_Sensitivity,fluid,P_cent1,15,15,0.1,NA,NA,NA
Table_Global_Sensitivity,fluid,P_cent2,10,10,0.0444444444444444,NA,NA,NA
Table_Global_Sensitivity,fluid,P_post,20,20,0.177777777777778,NA,NA,NA
Table_Global_Sensitivity,fluid,P_store,25,25,0.277777777777778,NA,NA,NA
Table_Global_Sensitivity,solid,P_warm,25,25,0.297619047619048,NA,NA,NA
Table_Global_Sensitivity,solid,P_cold,25,25,0.297619047619048,NA,NA,NA
Table_Global_Sensitivity,solid,P_fix,15,15,0.107142857142857,NA,NA,NA
Table_Global_Sensitivity,solid,P_fixTime,20,20,0.19047619047619,NA,NA,NA
Table_Global_Sensitivity,solid,P_store,15,15,0.107142857142857,NA,NA,NA
Table_Global_Sensitivity_Summary,fluid,P_pre,30,30,0.4,NA,NA,NA
Table_Global_Sensitivity_Summary,fluid,P_cent1,15,15,0.1,NA,NA,NA
Table_Global_Sensitivity_Summary,fluid,P_cent2,10,10,0.0444444444444444,NA,NA,NA
Table_Global_Sensitivity_Summary,fluid,P_post,20,20,0.177777777777778,NA,NA,NA
Table_Global_Sensitivity_Summary,fluid,P_store,25,25,0.277777777777778,NA,NA,NA
Table_Global_Sensitivity_Summary,solid,P_warm,25,25,0.297619047619048,NA,NA,NA
Table_Global_Sensitivity_Summary,solid,P_cold,25,25,0.297619047619048,NA,NA,NA
Table_Global_Sensitivity_Summary,solid,P_fix,15,15,0.107142857142857,NA,NA,NA
Table_Global_Sensitivity_Summary,solid,P_fixTime,20,20,0.19047619047619,NA,NA,NA
Table_Global_Sensitivity_Summary,solid,P_store,15,15,0.107142857142857,NA,NA,NA
Table_Axis_Influence_Summary,fluid,P_pre,NA,NA,NA,30,70,Grade C
Table_Axis_Influence_Summary,fluid,P_cent1,NA,NA,NA,15,85,Grade B
Table_Axis_Influence_Summary,fluid,P_cent2,NA,NA,NA,10,90,Grade A
Table_Axis_Influence_Summary,fluid,P_post,NA,NA,NA,20,80,Grade B
Table_Axis_Influence_Summary,fluid,P_store,NA,NA,NA,25,75,Grade C
Table_Axis_Influence_Summary,solid,P_warm,NA,NA,NA,25,75,Grade C
Table_Axis_Influence_Summary,solid,P_cold,NA,NA,NA,25,75,Grade C
Table_Axis_Influence_Summary,solid,P_fix,NA,NA,NA,15,85,Grade B
Table_Axis_Influence_Summary,solid,P_fixTime,NA,NA,NA,20,80,Grade B
Table_Axis_Influence_Summary,solid,P_store,NA,NA,NA,15,85,Grade B
