matrix,governance_failure_type,metadata_complete,terminology_valid,traceability_ok,monitoring_ok,documentation_ok,semantic_compatible,P_pre_severity,P_cent1_severity,P_cent2_severity,P_post_severity,P_store_severity,G_gov,P_warm_severity,P_cold_severity,P_fix_severity,P_fixTime_severity,P_bio,RCS,score_based_grade,final_grade,grade_route,nearest_threshold,threshold_margin
fluid,metadata_incompleteness,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.05,0.05,0.05,0.05,0.05,0,NA,NA,NA,NA,5,95,Grade A,Grade E,Governance failure,10,5
fluid,invalid_terminology,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,0.05,0.05,0.05,0.05,0.05,0,NA,NA,NA,NA,5,95,Grade A,Grade E,Governance failure,10,5
fluid,traceability_failure,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.05,0.05,0.05,0.05,0.05,0,NA,NA,NA,NA,5,95,Grade A,Grade E,Governance failure,10,5
fluid,monitoring_failure,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.05,0.05,0.05,0.05,0.05,0,NA,NA,NA,NA,5,95,Grade A,Grade E,Governance failure,10,5
fluid,documentation_failure,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0.05,0.05,0.05,0.05,0.05,0,NA,NA,NA,NA,5,95,Grade A,Grade E,Governance failure,10,5
fluid,semantic_incompatibility,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,0.05,0.05,0.05,0.05,0.05,0,NA,NA,NA,NA,5,95,Grade A,Grade E,Governance failure,10,5
solid,metadata_incompleteness,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,0.05,0,0.05,0.05,0.05,0.05,5,95,Grade A,Grade E,Governance failure,10,5
solid,invalid_terminology,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,0.05,0,0.05,0.05,0.05,0.05,5,95,Grade A,Grade E,Governance failure,10,5
solid,traceability_failure,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,0.05,0,0.05,0.05,0.05,0.05,5,95,Grade A,Grade E,Governance failure,10,5
solid,monitoring_failure,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,0.05,0,0.05,0.05,0.05,0.05,5,95,Grade A,Grade E,Governance failure,10,5
solid,documentation_failure,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,NA,NA,NA,0.05,0,0.05,0.05,0.05,0.05,5,95,Grade A,Grade E,Governance failure,10,5
solid,semantic_incompatibility,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,0.05,0,0.05,0.05,0.05,0.05,5,95,Grade A,Grade E,Governance failure,10,5
